City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
217,Longyearbyen,SJ,78.2186,15.6401,12.04,62,0,10.36,clear sky
218,Ulaanbaatar,MN,47.9077,106.8832,3.33,66,40,0.0,scattered clouds
219,Kirkkonummi,FI,60.1238,24.4385,36.18,100,100,12.84,overcast clouds
220,Bud,US,39.447,-86.1758,39.9,86,31,7.52,scattered clouds
221,Pisco,PE,-13.7,-76.2167,69.85,83,0,8.05,clear sky
222,Barra Patuca,HN,15.8,-84.2833,73.47,84,4,9.01,clear sky
223,Asau,RO,46.4333,26.4,40.28,81,75,8.28,broken clouds
224,Saint-Leu,RE,-21.15,55.2833,84.31,69,99,5.35,overcast clouds
225,Manali,IN,13.1667,80.2667,80.69,55,60,9.75,broken clouds
226,Libertador General San Martin,AR,-23.8064,-64.7876,79.03,46,80,3.09,broken clouds
227,Shihezi,CN,44.3,86.0333,4.95,87,6,4.56,clear sky
228,Shahgarh,IN,24.3167,79.1333,66.42,19,0,4.74,clear sky
229,Codrington,AU,-38.2667,141.9667,58.87,60,100,18.3,overcast clouds
230,Puerto Colombia,CO,10.9878,-74.9547,78.89,83,17,21.47,few clouds
231,Hasaki,JP,35.7333,140.8333,57.29,57,54,9.64,broken clouds
232,Skibbereen,IE,51.55,-9.2667,40.1,75,63,21.27,light rain
233,Eureka,US,40.8021,-124.1637,45.21,91,90,3.0,overcast clouds
234,Hofn,IS,64.2539,-15.2082,24.78,60,0,22.77,clear sky
235,Nuevo Laredo,MX,27.4763,-99.5164,70.07,73,0,6.91,clear sky
236,Byron Bay,AU,-28.65,153.6167,81.72,55,0,8.63,clear sky
237,Colatina,BR,-19.5394,-40.6306,70.47,97,19,1.39,few clouds
238,San Patricio,US,28.017,-97.5169,72.07,78,98,12.64,overcast clouds
239,Constitucion,CL,-35.3333,-72.4167,54.39,72,2,5.53,clear sky
240,Sao Miguel,BR,-5.4667,-35.3667,74.17,83,94,10.09,overcast clouds
241,Mayskiy,RU,47.6931,40.1025,31.41,92,99,12.44,overcast clouds
242,Paita,PE,-5.0892,-81.1144,70.11,76,89,8.14,overcast clouds
243,Afonso Claudio,BR,-20.0742,-41.1239,67.71,97,44,1.66,scattered clouds
244,Bodden Town,KY,19.2833,-81.25,74.93,77,4,15.05,clear sky
245,Sur,OM,22.5667,59.5289,76.69,49,4,9.04,clear sky
246,Minab,IR,27.1467,57.0801,65.5,79,99,4.16,light rain
247,Gweru,ZW,-19.45,29.8167,68.2,76,73,5.77,broken clouds
248,Goure,NE,13.9835,10.2704,56.41,31,0,9.17,clear sky
249,Ystad,SE,55.4297,13.8204,36.34,77,17,17.47,few clouds
250,Snasa,NO,64.2457,12.3778,33.21,86,100,7.96,overcast clouds
251,Leshukonskoye,RU,64.8989,45.7622,5.02,98,77,5.12,broken clouds
252,Katherine,AU,-14.4667,132.2667,93.52,49,97,9.22,overcast clouds
253,Lagoa,PT,39.05,-27.9833,56.21,68,0,9.48,clear sky
254,Talnakh,RU,69.4865,88.3972,-28.28,84,69,8.63,broken clouds
