City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
492,Mayumba,GA,77.36,overcast clouds,-3.432,10.6554,Résidence Hôtelière Fabso
495,Waingapu,ID,84.52,broken clouds,-9.6567,120.2641,HOTEL SANDLEWOOD
496,Loandjili,CG,78.37,overcast clouds,-4.7561,11.8578,Le Raphia Guest House
497,Coro,VE,74.28,scattered clouds,11.4045,-69.6734,Urumaco Suite
509,Sumbe,AO,77.47,overcast clouds,-11.2061,13.8437,No hotel found
510,San Pedro,PH,83.43,broken clouds,14.35,121.0167,Hotel Takara
511,Touros,BR,77.95,overcast clouds,-5.1989,-35.4608,Pousada Atlântico
512,Cidreira,BR,73.63,overcast clouds,-30.1811,-50.2056,Hotel Castelo
515,Salalah,OM,74.48,broken clouds,17.0151,54.0924,Muscat International Hotel
516,Fare,PF,80.82,light rain,-16.7,-151.0167,hôtel Maitai Lapita Village
524,Candido Mendes,BR,71.91,overcast clouds,-1.4467,-45.7167,No hotel found
525,Biak,ID,82.2,overcast clouds,-0.9131,122.8766,No hotel found
527,Pringsewu,ID,82.36,overcast clouds,-5.3582,104.9744,No hotel found
535,Rock Sound,BS,72.95,clear sky,24.9,-76.2,Rock Sound Club
536,Domoni,KM,80.71,light rain,-12.2569,44.5319,Hotel Djadid
537,Mogadishu,SO,76.87,clear sky,2.0371,45.3438,SYL Hotel
538,Almeirim,BR,72.43,light rain,-1.5233,-52.5817,Kapejar Hotel
542,Alugan,PH,81.0,light rain,12.2188,125.4808,No hotel found
546,Morondava,MG,84.2,scattered clouds,-20.2833,44.2833,Hotel Sharon Menabe
555,Cururupu,BR,73.0,broken clouds,-1.8283,-44.8683,No hotel found
556,Pontianak,ID,89.58,broken clouds,-0.0333,109.3333,Golden Tulip Hotel
559,La Asuncion,VE,76.73,scattered clouds,11.0333,-63.8628,Hotel La Ciudad
